title,location,property_type,price,price_per_bedroom,bedrooms,bathrooms,price_category,added_date,updated_date,month_added,state
Own A Luxury Mansion In Banana Island,banana island ikoyi lagos,land,6750000000,1350000000,5,5,High,10/02/2026,18/02/2026,2026-02,Lagos
4 Bedroom Duplex,bluegate oluyole estate ibadan oyo,duplex,310000000,0,0,0,High,01/09/2025,18/02/2026,2025-09,Oyo
Functional 37 Rooms Hotel,okota ajao estate isolo lagos,hotel/guest house,1000000000,0,0,0,High,21/07/2025,18/02/2026,2025-07,Lagos
Fully Furnished 3 Bedroom Apartment For Sale,admiralty road lekki lagos,Flat/Apartment,420000000,140000000,3,4,High,18/02/2026,18/02/2026,2026-02,Lagos
Luxury 5 Bedroom Terrace House With Bq,parkview ikoyi lagos parkview estate ikoyi lagos,Terraced,1400000000,280000000,5,5,High,02/02/2026,18/02/2026,2026-02,Lagos
Prime Industrial Land,ijora apapa lagos,land,1500000000,0,0,0,High,30/01/2026,18/02/2026,2026-01,Lagos
3 Bedroom Terrace Duplex,fagba agege lagos,Terraced,130000000,43333333,3,3,High,24/01/2026,18/02/2026,2026-01,Lagos
Fully Serviced 3 Bedroom Luxury Apartment,old ikoyi ikoyi lagos,Flat/Apartment,35000000,11666667,3,3,Mid,30/10/2025,18/02/2026,2025-10,Lagos
3 Bedroom Waterfront Duplex,lekki phase 1 lekki lagos,duplex,40000000,13333333,3,3,Mid,13/01/2026,09/02/2026,2026-01,Lagos
Newly Built 4 Bedroom Terrace Duplex + Bq,orchid lekki lagos,Terraced,9000000,2250000,4,4,Low,03/02/2026,18/02/2026,2026-02,Lagos
4bed Massionette+bq,shonibare estate maryland lagos,maisonette,800000000,200000000,4,5,High,16/02/2026,19/02/2026,2026-02,Lagos
Luxury 2 Bedroom Apartment With Elevator,"spar road, ikate lekki lagos",Flat/Apartment,220000000,110000000,2,2,High,09/01/2026,18/02/2026,2026-01,Lagos
Furnished 4 Bedroom Terrace Duplex With Bq,guzape abuja,Terraced,450000000,112500000,4,4,High,28/01/2026,18/02/2026,2026-01,Abuja
Fully Operational Rice Milling Facility,idu industrial (institution and research) abuja,maisonette,10000000000,0,0,0,High,01/02/2026,18/02/2026,2026-02,Abuja
2 Bedroom Flat,off maitama kubwa express katampe main abuja,Flat/Apartment,165000000,82500000,2,2,High,13/01/2026,18/02/2026,2026-01,Abuja
Newly Built 3 Bedroom Flat,"by turkish hospital, idu abuja",Flat/Apartment,145000000,48333333,3,3,High,19/01/2026,18/02/2026,2026-01,Abuja
