title,location,area_bucket,property_type,price,bedrooms,bathrooms,added_date,updated_date,month_posted,state,price_category
Residential land for sale,"Karu Karshi, Karu, Abuja",Karu Axis,Land,8000000,,,22/02/2026,23/02/2026,2026-02,Abuja,Low
5 bedroom detached duplex for sale,"African University Area, Galadimawa, Abuja",Galadimawa,Detached Duplex,300000000,5,7,02/09/2025,11/02/2026,2025-09,Abuja,High
4 bedroom detached duplex for sale,"Galadimawa, Abuja",Galadimawa,Detached Duplex,305000000,4,4,05/11/2025,06/02/2026,2025-11,Abuja,High
4 bedroom terraced duplex for sale,"Coza, Guzape District, Abuja",Guzape,Terraced Duplex,1400000000,4,4,09/10/2025,22/02/2026,2025-10,Abuja,High
Residential land for sale,"Guzape District, Abuja",Guzape,Land,1100000000,,,12/02/2026,12/02/2026,2026-02,Abuja,High
Residential land for sale,"Efab Metropolis Estate, Gwarinpa, Abuja",Gwarinpa,Land,200000000,,,06/05/2024,09/02/2026,2024-05,Abuja,Low
Residential land for sale,"Gilmore, Jahi, Abuja",Jahi,Land,1300000000,,,10/06/2025,23/02/2026,2025-06,Abuja,High
Mixed-use land for sale,"Kukwaba, Abuja",Kukwaba,Land,11000000000,,,05/10/2025,23/02/2026,2025-10,Abuja,High
Land for sale,"Guzape 2, After Gilmore Yard, Guzape District, Abuja",Guzape,Land,27000000,,,16/01/2026,22/02/2026,2026-01,Abuja,Low
Land for sale,"Guzape 2, After Gilmore Yard, Guzape District, Abuja",Guzape,Land,21000000,,,16/01/2026,22/02/2026,2026-01,Abuja,Low
Land for sale,"Guzape 2, After Gilmore Yard, Guzape District, Abuja",Guzape,Land,11000000,,,16/01/2026,22/02/2026,2026-01,Abuja,Low
Mixed-use land for sale,"Maitama 2, Maitama District, Abuja",Maitama,Land,11000000000,,,22/02/2026,22/02/2026,2026-02,Abuja,High
Mixed-use land for sale,"Maitama 2, Maitama District, Abuja",Maitama,Land,2200000000,,,22/02/2026,22/02/2026,2026-02,Abuja,High
2 bedroom semi-detached duplex for sale,"Lokogoma District, Abuja",Lokogoma,Semi-Detached Duplex,100000000,2,2,01/11/2025,12/02/2026,2025-11,Abuja,Low
7 bedroom detached duplex for sale,"Guzape Hills, Guzape District, Abuja",Guzape,Detached Duplex,700000000,7,7,29/01/2026,22/02/2026,2026-01,Abuja,High
Mixed-use land for sale,"Maitama 2, Maitama District, Abuja",Maitama,Land,7000000000,,,22/02/2026,22/02/2026,2026-02,Abuja,High
6 bedroom detached duplex for sale,"Katampe Extension, Katampe, Abuja",Katampe,Detached Duplex,750000000,6,,22/02/2026,22/02/2026,2026-02,Abuja,High
2 bedroom block of flats for sale,"Area 1 Axis., Durumi, Abuja",Durumi,Block Of Flats,70000000,2,3,19/09/2025,22/02/2026,2025-09,Abuja,Low
3 bedroom block of flats for sale,"Area 1, Durumi, Abuja",Durumi,Block Of Flats,80000000,3,4,22/09/2025,22/02/2026,2025-09,Abuja,Low
Residential land for sale,"Hutu Along Airport Road, Lugbe District, Abuja",Lugbe,Land,25000000,,,18/02/2026,22/02/2026,2026-02,Abuja,Low
4 bedroom terraced duplex for sale,"Guzape District, Abuja",Guzape,Terraced Duplex,300000000,4,5,11/02/2026,22/02/2026,2026-02,Abuja,High
3 bedroom terraced duplex for sale,"Mamman Kontogora Crescent, Katampe Extension, Katampe, Abuja",Katampe,Terraced Duplex,2500000000,3,,22/02/2026,22/02/2026,2026-02,Abuja,High
4 bedroom terraced duplex for sale,"Karsana, Abuja",Karsana,Terraced Duplex,105000000,4,,22/02/2026,22/02/2026,2026-02,Abuja,Low
Residential land for sale,"Lugbe, Lugbe District, Abuja",Lugbe,Land,18000000,,,22/02/2026,22/02/2026,2026-02,Abuja,Low
5 bedroom semi-detached duplex for sale,"Asokoro District, Abuja",Asokoro,Semi-Detached Duplex,750000000,5,6,05/07/2024,09/02/2026,2024-07,Abuja,High
8 bedroom detached duplex for sale,"A Few Minute Drive From Africa Medical Centre, Apo, Abuja",Apo,Detached Duplex,24000000,8,8,22/02/2026,23/02/2026,2026-02,Abuja,Low
Residential land for sale,"Entrance From Gilmore Yard, Jahi, Abuja",Jahi,Land,950000000,,,22/02/2026,22/02/2026,2026-02,Abuja,High
4 bedroom terraced duplex for sale,"By Living Faith, Jahi, Abuja",Jahi,Terraced Duplex,255000000,4,4,18/02/2026,18/02/2026,2026-02,Abuja,Low
Residential land for sale,"Africa Medical Centre, Apo, Abuja",Apo,Land,220000000,,,22/02/2026,23/02/2026,2026-02,Abuja,Low
5 bedroom detached duplex for sale,"Life Camp, Abuja",Life Camp,Detached Duplex,310000000,5,6,22/02/2026,22/02/2026,2026-02,Abuja,High
5 bedroom semi-detached duplex for sale,"Gwarinpa, Abuja",Gwarinpa,Semi-Detached Duplex,320000000,5,5,22/02/2026,23/02/2026,2026-02,Abuja,High
Commercial land for sale,"Chikarore, Kubwa, Abuja",Kubwa,Land,20000000,,,13/02/2026,13/02/2026,2026-02,Abuja,Low
4 bedroom semi-detached duplex for sale,"Rock Hampton Estate, Maitama District, Abuja",Maitama,Semi-Detached Duplex,540000000,4,4,08/11/2025,08/02/2026,2025-11,Abuja,High
Shop for sale,"Rock Of Ages Plaza, Utako, Abuja",Utako,Commercial Property,50000000,,,22/02/2026,22/02/2026,2026-02,Abuja,Low
4 bedroom detached duplex for sale,"Lokogoma District, Abuja",Lokogoma,Detached Duplex,260000000,4,4,10/02/2026,23/02/2026,2026-02,Abuja,High
4 bedroom terraced duplex for sale,"Guzape District, Abuja",Guzape,Terraced Duplex,350000000,4,4,29/01/2026,22/02/2026,2026-01,Abuja,High
4 bedroom terraced duplex for sale,"Guzape District, Abuja",Guzape,Terraced Duplex,400000000,4,4,29/01/2026,22/02/2026,2026-01,Abuja,High
7 bedroom detached duplex for sale,"Asokoro District, Abuja",Asokoro,Detached Duplex,1500000000,7,7,18/10/2025,30/01/2026,2025-10,Abuja,High
4 bedroom semi-detached duplex for sale,"By Naf Conference And Next Cash And Carry Road, Kado, Abuja",Kado,Semi-Detached Duplex,350000000,4,5,22/02/2026,22/02/2026,2026-02,Abuja,High
5 bedroom semi-detached duplex for sale,"Opposite Judges Qtrs, Katampe, Abuja",Katampe,Semi-Detached Duplex,300000000,5,5,18/02/2026,18/02/2026,2026-02,Abuja,High
4 bedroom terraced duplex for sale,"Guzape District, Abuja",Guzape,Terraced Duplex,210000000,4,4,25/10/2025,18/02/2026,2025-10,Abuja,Low
Residential land for sale,"Mabushi, Abuja",Mabushi,Land,500000000,,,18/02/2026,23/02/2026,2026-02,Abuja,High
6 bedroom detached duplex for sale,"Katampe Extension, Katampe, Abuja",Katampe,Detached Duplex,1300000000,6,7,18/02/2026,18/02/2026,2026-02,Abuja,High
Shop for sale,"Efab Metropolis Gate., Karsana North, Karsana, Abuja",Karsana,Commercial Property,165000000,,,07/01/2026,05/02/2026,2026-01,Abuja,Low
7 bedroom detached duplex for sale,"Efab Metropolis Estate, Gwarinpa, Abuja",Gwarinpa,Detached Duplex,500000000,7,8,16/09/2025,09/02/2026,2025-09,Abuja,High
4 bedroom detached duplex for sale,"Jabi, Abuja",Jabi,Detached Duplex,269000000,4,4,05/02/2026,06/02/2026,2026-02,Abuja,High
3 bedroom block of flats for sale,"Katampe, Abuja",Katampe,Block Of Flats,120000000,3,3,22/02/2026,22/02/2026,2026-02,Abuja,Low
3 bedroom terraced duplex for sale,"Guzape District, Abuja",Guzape,Terraced Duplex,250000000,3,4,22/02/2026,22/02/2026,2026-02,Abuja,Low
4 bedroom detached duplex for sale,"Apo Resettlement, Apo, Abuja",Apo,Detached Duplex,390000000,4,5,19/02/2026,19/02/2026,2026-02,Abuja,High
5 bedroom detached duplex for sale,"Guzape District, Abuja",Guzape,Detached Duplex,4500000000,5,6,19/02/2026,22/02/2026,2026-02,Abuja,High
5 bedroom detached duplex for sale,"Katampe Extension, Katampe, Abuja",Katampe,Detached Duplex,1500000000,5,65,12/02/2026,17/02/2026,2026-02,Abuja,High
4 bedroom detached duplex for sale,"Lugbe District, Abuja",Lugbe,Detached Duplex,90000000,4,4,22/02/2026,22/02/2026,2026-02,Abuja,Low
Residential land for sale,"Lugbe District, Abuja",Lugbe,Land,9000000,,,19/11/2025,21/02/2026,2025-11,Abuja,Low
4 bedroom terraced duplex for sale,"Main, Guzape District, Abuja",Guzape,Terraced Duplex,420000000,4,4,22/02/2026,22/02/2026,2026-02,Abuja,High
3 bedroom flat / apartment for sale,"Maitama Extension, Mpape, Maitama 2, Maitama District, Abuja",Maitama,Flat,120000000,3,3,08/05/2025,22/02/2026,2025-05,Abuja,Low
Residential land for sale,"Mpape, Maitama 2, Maitama District, Abuja",Maitama,Land,55000000,,,18/05/2025,22/02/2026,2025-05,Abuja,Low
3 bedroom block of flats for sale,"Maitama Extension, Mpape, Maitama 2, Maitama District, Abuja",Maitama,Block Of Flats,110000000,3,3,13/07/2025,22/02/2026,2025-07,Abuja,Low
4 bedroom terraced duplex for sale,"Maitama Extension, Mpape, Maitama 2, Maitama District, Abuja",Maitama,Terraced Duplex,190000000,4,4,28/09/2025,22/02/2026,2025-09,Abuja,Low
4 bedroom terraced duplex for sale,"Wuye, Abuja",Wuye,Terraced Duplex,750000000,4,4,23/12/2025,16/02/2026,2025-12,Abuja,High
6 bedroom semi-detached duplex for sale,"Guzape Main, Guzape District, Abuja",Guzape,Semi-Detached Duplex,500000000,6,6,07/01/2026,22/02/2026,2026-01,Abuja,High
5 bedroom detached duplex for sale,"Jabi, Abuja",Jabi,Detached Duplex,900000000,5,,24/06/2025,02/02/2026,2025-06,Abuja,High
